"Date","Open","High","Low","Close","Volume"
"2011-12-23","1.8667","1.8667","1.8347","1.8600","8870846"
"2011-12-27","1.8440","1.9180","1.8427","1.9047","11661039"
"2011-12-28","1.9327","1.9493","1.8693","1.9007","8627066"
"2011-12-29","1.9060","1.9560","1.9033","1.9153","7322246"
"2011-12-30","1.8993","1.9320","1.8833","1.9040","5094897"
"2012-01-03","1.9293","1.9667","1.8433","1.8720","13920773"
"2012-01-04","1.8807","1.9113","1.8333","1.8473","9450535"
"2012-01-05","1.8507","1.8620","1.7900","1.8080","15081472"
"2012-01-06","1.8133","1.8527","1.7607","1.7940","14794298"
"2012-01-09","1.8000","1.8327","1.7413","1.8167","13454258"
"2012-01-10","1.8293","1.8507","1.8167","1.8413","10072975"
"2012-01-11","1.8413","1.8920","1.8200","1.8820","10082080"
"2012-01-12","1.8987","1.9080","1.8537","1.8833","10939495"
"2012-01-13","1.8933","1.9000","1.5093","1.5193","82000894"
"2012-01-17","1.7747","1.8227","1.7607","1.7733","69769330"
"2012-01-18","1.7793","1.7920","1.7500","1.7873","18902736"
"2012-01-19","1.8127","1.8493","1.7740","1.7840","18693321"
"2012-01-20","1.7933","1.8000","1.7600","1.7733","9934330"
"2012-01-23","1.7873","1.8140","1.7733","1.7847","8917991"
"2012-01-24","1.7753","1.8453","1.7627","1.8280","12868704"
"2012-01-25","1.8180","1.8673","1.8033","1.8647","9166675"
"2012-01-26","1.8713","1.9720","1.8667","1.9293","19065410"
"2012-01-27","1.9000","1.9813","1.9000","1.9553","11225409"
"2012-01-30","1.9660","1.9740","1.9019","1.9713","10934680"
"2012-01-31","1.9933","2.0000","1.9247","1.9380","14344688"
"2012-02-01","1.9380","1.9800","1.9333","1.9720","7843856"
"2012-02-02","1.9813","2.0587","1.9737","2.0167","12084144"
"2012-02-03","2.0273","2.0887","2.0167","2.0767","11466264"
"2012-02-06","2.0733","2.1267","2.0700","2.1200","9777910"
"2012-02-07","2.1200","2.1200","2.0547","2.1067","15322537"
